"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT5G24070",0,5.9448168492116,0.819,0.043,0,"LRC","AT5G24070"
"AT1G33280",0,5.94589066140823,0.792,0.04,0,"LRC","AT1G33280"
"AT5G55110",0,6.87596117791442,0.745,0.036,0,"LRC","AT5G55110"
"AT4G15350",0,5.05435387470709,0.735,0.031,0,"LRC","AT4G15350"
"AT4G10350",0,6.14996675419776,0.71,0.03,0,"LRC","AT4G10350"
"AT1G73340",0,5.72488452247368,0.689,0.03,0,"LRC","AT1G73340"
"AT1G15385",0,5.88640538518903,0.706,0.063,0,"LRC","AT1G15385"
"AT2G39350",0,5.07001752509733,0.692,0.049,0,"LRC","AT2G39350"
"AT1G14220",0,5.08426327798847,0.689,0.066,0,"LRC","AT1G14220"
"AT3G03500",0,7.01687235072388,0.66,0.038,0,"LRC","AT3G03500"
"AT1G29290",0,5.29912304045946,0.645,0.032,0,"LRC","AT1G29290"
"AT5G20045",0,6.85354694762542,0.624,0.022,0,"LRC","AT5G20045"
"AT1G16905",0,7.59095508377369,0.611,0.014,0,"LRC","AT1G16905"
"AT5G54370",0,7.38136337542176,0.645,0.049,0,"LRC","AT5G54370"
"AT1G54010",0,5.21121557721404,0.817,0.228,0,"LRC","AT1G54010"
"AT2G23630",0,6.30063893457612,0.627,0.041,0,"LRC","AT2G23630"
"AT2G43600",0,5.31339503999249,0.543,0.018,0,"LRC","AT2G43600"
"AT4G15393",0,5.97588317532882,0.537,0.021,0,"LRC","AT4G15393"
"AT1G67850",0,6.10258249506817,0.528,0.02,0,"LRC","AT1G67850"
"AT4G15300",0,5.78912068572286,0.52,0.014,0,"LRC","AT4G15300"
"AT3G04330",0,7.07842445446356,0.511,0.015,0,"LRC","AT3G04330"
"AT2G35770",0,6.52884061338388,0.506,0.012,0,"LRC","AT2G35770"
"AT4G19460",0,6.30990285612663,0.504,0.01,0,"LRC","AT4G19460"
"AT5G15940",0,5.9089658934168,0.508,0.019,0,"LRC","AT5G15940"
"AT3G04320",0,5.15169559942328,0.853,0.364,0,"LRC","AT3G04320"
"AT5G57400",0,5.78516352453757,0.505,0.018,0,"LRC","AT5G57400"
"AT1G06330",0,6.08095155888946,0.491,0.01,0,"LRC","AT1G06330"
"AT5G58784",0,6.20532397705324,0.503,0.023,0,"LRC","AT5G58784"
"AT5G60530",0,6.7332541627464,0.868,0.39,0,"LRC","AT5G60530"
"AT1G07175",0,6.04774869426149,0.501,0.025,0,"LRC","AT1G07175"
"AT1G63245",0,5.13344671895704,0.497,0.021,0,"LRC","AT1G63245"
"AT1G47620",0,5.72467883089188,0.478,0.013,0,"LRC","AT1G47620"
"AT3G49190",0,7.29980992457129,0.475,0.02,0,"LRC","AT3G49190"
"AT1G44318",0,6.06761256116924,0.466,0.013,0,"LRC","AT1G44318"
"AT5G51520",0,6.34848442325116,0.465,0.015,0,"LRC","AT5G51520"
"AT4G27400",0,7.61300610438437,0.453,0.014,0,"LRC","AT4G27400"
"AT1G17235",0,5.66417699169933,0.457,0.02,0,"LRC","AT1G17235"
"AT1G74010",0,5.58982069948572,0.429,0.011,0,"LRC","AT1G74010"
"AT1G52050",0,7.35565631284624,0.613,0.211,0,"LRC","AT1G52050"
"AT5G51310",0,5.27775716141954,0.411,0.017,0,"LRC","AT5G51310"
"AT1G50060",0,7.69903657604525,0.436,0.063,0,"LRC","AT1G50060"
"AT5G43580",0,5.18976513377023,0.753,0.382,0,"LRC","AT5G43580"
"AT1G22880",0,5.70979014527569,0.405,0.037,0,"LRC","AT1G22880"
"AT1G13480",0,5.19267826566516,0.392,0.027,0,"LRC","AT1G13480"
"AT3G56060",0,5.61403830743784,0.387,0.022,0,"LRC","AT3G56060"
